ESTADO;POPULAÇÃO
 São Paulo;44396484
 Minas Gerais;20869101
 Rio de Janeiro;16550024
Bahia;15203934
 Rio Grande do Sul;11247972
 Paraná;11163018
 Pernambuco;9345173
 Ceará;8904459
Pará;8175113
 Maranhão;6904241
 Santa Catarina;6819190
 Goiás;6610681
 Paraíba;3972202
 Amazonas;3938336
 Espírito Santo;3929911
 Rio Grande do Norte;3442175
 Alagoas;3340932
 Mato Grosso;3270973
 Piauí;3204028
 Distrito Federal;2914830
 Mato Grosso do Sul;2651235
 Sergipe;2242937
 Rondônia;1768204
 Tocantins;1515126
 Acre;803513
 Amapá;766679
 Roraima;505665
